index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
72,2023,1,BUENOS AIRES,116.18,26.81,79.0,-35.633728326052875,-59.695392866402734
74,2023,1,CATAMARCA,87.41,16.83,66.17,-27.97273476331947,-66.12713970412685
75,2023,1,CHACO,104.33,11.53,43.15,-26.86207729911804,-60.15511735633289
76,2023,1,CHUBUT,18.36,26.32,85.89,-44.077151734192086,-68.66765299463769
77,2023,1,CORDOBA,109.57,27.2,88.84,-31.846608244153405,-63.96214628932277
78,2023,1,CORRIENTES,94.8,13.71,52.05,-28.61578113415668,-57.97533573736128
79,2023,1,ENTRE RIOS,86.71,19.37,64.79,-31.925167566210387,-59.26302098168299
80,2023,1,FORMOSA,73.96,9.87,38.79,-25.09315954739276,-59.46860152020448
81,2023,1,JUJUY,42.75,14.88,58.2,-23.523573011085336,-65.43805280478172
82,2023,1,LA PAMPA,20.09,31.81,96.55,-36.47714174789248,-64.4553406128059
83,2023,1,LA RIOJA,63.13,21.23,79.74,-29.330863895517307,-67.13983451857555
84,2023,1,MENDOZA,41.45,14.34,51.4,-33.368795530481485,-68.68534600457129
85,2023,1,MISIONES,89.81,14.7,53.97,-27.058215458325986,-54.96724865075839
86,2023,1,NEUQUEN,93.42,23.38,78.55,-38.49954335558701,-69.8742115743201
87,2023,1,RIO NEGRO,74.4,21.27,69.16,-39.89645026413934,-67.6105113380815
88,2023,1,SALTA,76.85,13.97,57.67,-24.248013631473587,-64.70250708135784
89,2023,1,SAN JUAN,18.7,12.67,49.75,-31.31442612644254,-68.50334378949645
90,2023,1,SAN LUIS,55.85,25.8,90.17,-32.98264595285886,-65.88683861327827
91,2023,1,SANTA CRUZ,14.98,12.92,43.42,-48.863730255517886,-69.86373350526509
92,2023,1,SANTA FE,92.22,24.57,78.13,-31.64634283294476,-61.04726054930406
93,2023,1,SANTIAGO DEL ESTERO,36.27,11.8,47.55,-27.784103764741893,-63.62189998971087
94,2023,1,TIERRA DEL FUEGO,14.58,30.9,104.23,-62.35015217161648,-59.53190998460846
95,2023,1,TUCUMAN,95.79,14.95,60.34,-26.998180477681764,-65.29453734502505
96,2022,4,BUENOS AIRES,111.0,26.72,78.94,-35.633728326052875,-59.695392866402734
98,2022,4,CATAMARCA,83.33,16.73,65.77,-27.97273476331947,-66.12713970412685
99,2022,4,CHACO,104.02,11.66,43.62,-26.86207729911804,-60.15511735633289
100,2022,4,CHUBUT,15.92,26.23,85.57,-44.077151734192086,-68.66765299463769
101,2022,4,CORDOBA,108.77,27.26,89.03,-31.846608244153405,-63.96214628932277
102,2022,4,CORRIENTES,94.72,13.6,51.64,-28.61578113415668,-57.97533573736128
103,2022,4,ENTRE RIOS,87.47,19.14,64.01,-31.925167566210387,-59.26302098168299
104,2022,4,FORMOSA,72.03,10.03,39.41,-25.09315954739276,-59.46860152020448
105,2022,4,JUJUY,39.32,14.95,58.46,-23.523573011085336,-65.43805280478172
106,2022,4,LA PAMPA,19.1,31.23,94.8,-36.47714174789248,-64.4553406128059
107,2022,4,LA RIOJA,61.0,21.26,79.86,-29.330863895517307,-67.13983451857555
108,2022,4,MENDOZA,38.76,14.33,51.36,-33.368795530481485,-68.68534600457129
109,2022,4,MISIONES,91.24,14.39,52.85,-27.058215458325986,-54.96724865075839
110,2022,4,NEUQUEN,95.37,23.41,78.67,-38.49954335558701,-69.8742115743201
111,2022,4,RIO NEGRO,75.31,21.04,68.42,-39.89645026413934,-67.6105113380815
112,2022,4,SALTA,75.93,14.04,57.96,-24.248013631473587,-64.70250708135784
113,2022,4,SAN JUAN,16.39,12.96,50.88,-31.31442612644254,-68.50334378949645
114,2022,4,SAN LUIS,30.67,25.83,90.27,-32.98264595285886,-65.88683861327827
115,2022,4,SANTA CRUZ,14.33,12.95,43.53,-48.863730255517886,-69.86373350526509
116,2022,4,SANTA FE,90.3,24.65,78.4,-31.64634283294476,-61.04726054930406
117,2022,4,SANTIAGO DEL ESTERO,34.4,11.92,48.05,-27.784103764741893,-63.62189998971087
118,2022,4,TIERRA DEL FUEGO,13.48,30.07,101.44,-62.35015217161648,-59.53190998460846
119,2022,4,TUCUMAN,88.33,15.12,61.04,-26.998180477681764,-65.29453734502505
120,2022,3,BUENOS AIRES,70.19,26.37,78.11,-35.633728326052875,-59.695392866402734
122,2022,3,CATAMARCA,60.99,16.62,65.33,-27.97273476331947,-66.12713970412685
123,2022,3,CHACO,53.21,11.72,43.86,-26.86207729911804,-60.15511735633289
124,2022,3,CHUBUT,15.57,25.86,84.38,-44.077151734192086,-68.66765299463769
125,2022,3,CORDOBA,56.32,27.04,88.31,-31.846608244153405,-63.96214628932277
126,2022,3,CORRIENTES,45.07,12.69,48.21,-28.61578113415668,-57.97533573736128
127,2022,3,ENTRE RIOS,42.49,19.04,63.67,-31.925167566210387,-59.26302098168299
128,2022,3,FORMOSA,30.35,11.14,43.76,-25.09315954739276,-59.46860152020448
129,2022,3,JUJUY,32.43,15.06,58.91,-23.523573011085336,-65.43805280478172
130,2022,3,LA PAMPA,18.1,31.82,96.59,-36.47714174789248,-64.4553406128059
131,2022,3,LA RIOJA,44.3,21.47,80.66,-29.330863895517307,-67.13983451857555
132,2022,3,MENDOZA,34.16,14.24,51.03,-33.368795530481485,-68.68534600457129
133,2022,3,MISIONES,49.3,14.11,51.82,-27.058215458325986,-54.96724865075839
134,2022,3,NEUQUEN,47.81,23.92,80.37,-38.49954335558701,-69.8742115743201
135,2022,3,RIO NEGRO,34.13,20.91,67.98,-39.89645026413934,-67.6105113380815
136,2022,3,SALTA,41.33,13.99,57.76,-24.248013631473587,-64.70250708135784
137,2022,3,SAN JUAN,15.84,12.94,50.8,-31.31442612644254,-68.50334378949645
